gene	go
KCNJ8	GO:0015272
KCNJ8	GO:0019829
KCNJ8	GO:0005242
KCNJ8	GO:0017098
KCNJ8	GO:1902282
KCNJ8	GO:0051607
KCNJ8	GO:0007507
KCNJ8	GO:0098662
KCNJ8	GO:0001822
KCNJ8	GO:0098915
KCNJ8	GO:1990573
KCNJ8	GO:0071805
KCNJ8	GO:0006813
KCNJ8	GO:0034765
KCNJ8	GO:0043330
KCNJ8	GO:0032496
KCNJ8	GO:0150104
ABCC9	GO:0008282
ABCC9	GO:0016020
ABCC9	GO:0005886
ABCC9	GO:0031004
ABCC9	GO:0030017
ABCC9	GO:0140359
ABCC9	GO:0005524
ABCC9	GO:0019829
ABCC9	GO:0043225
ABCC9	GO:0042626
ABCC9	GO:0005267
ABCC9	GO:0015459
ABCC9	GO:0008281
ABCC9	GO:0044325
ABCC9	GO:0061337
ABCC9	GO:0098655
ABCC9	GO:0051607
ABCC9	GO:0098662
ABCC9	GO:1990573
ABCC9	GO:0071805
ABCC9	GO:0033198
ABCC9	GO:0055085
ABCC9	GO:0150104
ABCC8	GO:0008282
ABCC8	GO:0016020
ABCC8	GO:0005739
ABCC8	GO:0005886
ABCC8	GO:0031004
ABCC8	GO:0042383
ABCC8	GO:0030672
ABCC8	GO:0140359
ABCC8	GO:0005524
ABCC8	GO:0015272
ABCC8	GO:0019829
ABCC8	GO:0042626
ABCC8	GO:0005267
ABCC8	GO:0008281
ABCC8	GO:0044325
ABCC8	GO:0001678
ABCC8	GO:0071310
ABCC8	GO:0007565
ABCC8	GO:0098662
ABCC8	GO:0007613
ABCC8	GO:0016525
ABCC8	GO:1905604
ABCC8	GO:0060253
ABCC8	GO:0046676
ABCC8	GO:0010989
ABCC8	GO:0061855
ABCC8	GO:0061045
ABCC8	GO:1905075
ABCC8	GO:0032760
ABCC8	GO:1900721
ABCC8	GO:1903818
ABCC8	GO:0071805
ABCC8	GO:0006813
ABCC8	GO:0032868
ABCC8	GO:0032496
